architecture,mean,std,n_params,p_value_vs_best,t_stat_vs_best,tied_with_best,selected
"[512, 256, 128]",0.0026024799444712,4.683318303153296e-05,169492,1.0,0.0,True,False
"[512, 256]",0.0026063470519147,3.474395666416746e-05,136724,0.7685433524013234,0.29657225114641805,True,False
"[256, 128]",0.0026320116594433,4.9152916269373566e-05,35604,0.05918412215915065,1.9452863086427548,True,True
"[512, 256, 128, 64]",0.0026339819072745,4.785796053668778e-05,177684,0.04205959958025638,2.103937416525744,False,False
"[180, 90]",0.0026592629612423,7.068037425591034e-05,18200,0.005174165207203761,2.995003505965766,False,False
"[256, 128, 64]",0.002665561530739,6.412388717112672e-05,43796,0.0011192578563891463,3.5527731941119582,False,False
"[128, 64]",0.0026827489724382,7.630752084994764e-05,9620,0.0003478048451669237,4.0093977484874,False,False
"[180, 90, 45]",0.0027040973072871,6.292140796275063e-05,22250,1.4286066616426273e-06,5.793737968194367,False,False
"[256, 128, 64, 32]",0.0027414455427788,5.763794063661244e-05,45844,5.206664772195155e-10,8.368173433639035,False,False
"[64, 32]",0.0027445375919342,7.839149207811177e-05,2772,8.289653421288195e-08,6.957188123452427,False,False
"[128, 64, 32]",0.0027513279230333,9.570620472983864e-05,11668,1.0029589821025488e-06,6.2474407837302826,False,False
"[180, 90, 45, 20]",0.0027711389702744,6.464211677020552e-05,23145,4.055119908782533e-11,9.449055408157859,False,False
"[128, 64, 32, 16]",0.0028583359671756,0.0001247058489715,12180,8.037669428644599e-09,8.589619292998119,False,False
"[64, 32, 16]",0.0028669698978774,0.0001135204372366,3284,6.071050941568626e-10,9.632080393580557,False,False
"[32, 16]",0.002872369880788,0.0001293192057463,884,6.118625825782435e-09,8.775619945447437,False,False
"[64, 32, 16, 8]",0.0029060616041533,0.0001395205430422,3412,3.1289642092672167e-09,9.225035158852787,False,False
"[32, 16, 8]",0.0029107078444212,0.0001378371806123,1012,1.8509628788972845e-09,9.468834181345638,False,False
"[32, 8]",0.002988462394569,0.0001037115574977,612,1.4522255691726706e-14,15.16900728618072,False,False
"[32, 16, 8, 4]",0.0030047413776628,0.0001398763580586,1044,1.4157257556242704e-11,12.19569339115523,False,False
"[16, 8]",0.0030472091166302,0.000140939952567,324,2.1809133301955838e-12,13.391625216530496,False,False
