architecture,mean,std,n_params
"[16, 8]",0.003047209116630256,0.00014093995256704326,324
"[32, 8]",0.002988462394569069,0.0001037115574977171,612
"[32, 16, 8]",0.0029107078444212675,0.00013783718061239432,1012
"[32, 16]",0.002872369880788028,0.00012931920574632842,884
"[32, 16, 8, 4]",0.003004741377662867,0.00013987635805868824,1044
"[64, 32]",0.002744537591934204,7.839149207811177e-05,2772
"[64, 32, 16]",0.0028669698978774248,0.00011352043723668623,3284
"[64, 32, 16, 8]",0.002906061604153365,0.00013952054304222864,3412
"[128, 64]",0.0026827489724382757,7.630752084994764e-05,9620
"[128, 64, 32]",0.0027513279230333863,9.570620472983863e-05,11668
"[128, 64, 32, 16]",0.0028583359671756625,0.00012470584897154776,12180
"[180, 90]",0.0026592629612423478,7.068037425591034e-05,18200
"[180, 90, 45]",0.0027040973072871566,6.292140796275063e-05,22250
"[180, 90, 45, 20]",0.002771138970274478,6.464211677020552e-05,23145
"[256, 128]",0.0026320116594433784,4.9152916269373566e-05,35604
"[256, 128, 64]",0.002665561530739069,6.412388717112672e-05,43796
"[256, 128, 64, 32]",0.0027414455427788196,5.763794063661244e-05,45844
"[512, 256]",0.0026063470519147812,3.474395666416746e-05,136724
"[512, 256, 128]",0.00260247994447127,4.683318303153296e-05,169492
"[512, 256, 128, 64]",0.002633981907274574,4.785796053668778e-05,177684
